ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Correlation_Correlation_DNA_DUTP,Location_Center_X,Location_Center_Y,Number_Object_Number
1,32,118,1382,249,6.098747008,0.995649627,1,0.776315789,0.212920939,42.62031894,37.01351105,2,1.313309854,1,3,3.971203099,1.230989629,83.452,0.828070175,0.071564603,1377.720339,248.5,32
1,130,130,1403,790,5.067061492,0.994041541,1,0.601851852,0.248132248,40.71729796,35.12833614,2.828427125,1.412417474,1,4.066548549,4.438262782,1.672958301,81.14,0.771513353,0.010814581,1390.269231,789.4076923,130
1,134,9,1401,800,0.930842268,0,1,1,0.785398163,3.352821358,2.828427125,2,1.111111111,1,2,3.352821358,0,12,1,0.204792286,1401,800,134
1,54,31,1412,357,1.310165725,0.891122182,1,0.861111111,0.81238642,9.35227926,8.062257748,2,1.343769492,1,3,4.243722389,1.997385743,21.898,0.925373134,-0.268645889,1413.096774,356.4516129,54
1,78,26,1439,496,1.627279217,0.932123171,1,0.65,0.592432764,9.849371901,9.055385138,2,1.179109779,1,3,3.566865339,4.336042853,23.484,0.8125,-0.023851954,1438.230769,495.4615385,78
1,119,103,1463,751,2.99378591,0.983987416,1,0.66025641,0.39074737,27.62662856,25.01999201,2.828427125,1.474901307,1,5,4.924113466,-0.682941535,57.554,0.820717131,-0.097300906,1464.07767,751.4563107,119
1,148,293,1458,893,2.815924849,0.982445078,1,0.72345679,0.384426934,45.05566572,44.04543109,5,2.195363132,2,8,8.405226885,2.344676403,97.866,0.909937888,0.236492219,1465.03413,893.5187713,148
1,137,171,1471,823,4.254826209,0.992390154,1,0.730769231,0.312165376,42.71922118,38.11823711,3,1.605682391,1.414213562,4.722849747,5.260153775,3.716388394,82.968,0.895287958,-0.088024554,1467.567251,822.5906433,137
1,126,31,1469,782,1.310165725,0.891122182,1,0.861111111,0.81238642,9.35227926,8.062257748,2,1.343769492,1,3,4.243722389,1.997385743,21.898,0.925373134,0.352334314,1468.903226,782.5483871,126
1,142,23,1470,855,1.134040843,0.817253043,1,0.821428571,0.902253743,7.15592561,6.08276253,2,1.289428446,1,3,4.123809512,3.702439028,17.898,0.901960784,0.187084663,1470.086957,854.4347826,142
1,114,55,1496,706,1.670052716,0.942047745,1,0.785714286,0.645337201,14.57732492,13.15294644,2.828427125,1.465714029,1,4,4.890383931,5.753135797,32.726,0.901639344,0.096155687,1496.327273,706.0363636,114
1,26,36,1503,208,1.079249122,0.712833917,1,0.75,0.844861764,8.231567545,7.615773106,3,1.498999723,1.207106781,5,5.773068967,-22.66118847,23.14,0.9,-0.457489593,1502.638889,208.3611111,26
1,97,1192,1472,592,10.21455553,0.998026455,1,0.559099437,0.083208696,175.3982618,163.1502375,5.099019514,2.137077643,2,11.6007355,11.01411083,1.459755808,424.286,0.718072289,0.313869606,1503.096477,591.8322148,97
1,127,186,1507,784,5.163006462,0.994883192,1,0.808695652,0.24438842,49.18131367,45.01110974,3,1.54163044,1.414213562,4,4.968879035,1.819695598,97.796,0.902912621,-0.055200518,1503.225806,783.8655914,127
1,143,308,1485,855,12.19048369,0.998973456,1,0.583333333,0.112537571,97.53600147,87.09190548,3,1.409832932,1,4.238859928,4.418319805,2.022201809,185.452,0.871287129,-0.209666515,1516.512987,855.9805195,143
1,115,87,1508,707,7.076790456,0.996979973,1,0.639705882,0.205730125,39.47979759,33.06055051,2,1.202952348,1,2.44694323,3.065964861,2.733278177,72.898,0.816901408,-0.068862183,1522.45977,707.5632184,115
1,5,37,1559,14,5.378782723,0.994635461,1,0.616666667,0.228895087,22.44003274,19.02629759,1,1,1,1.901250667,2.321247579,3.950874235,45.07,0.880952381,-0.021550804,1558.972973,12.97297297,5
