    al	    xc	    yc	    do	     h	    xl	    yl	    lo	counter
 18.66	681.59	311.75	 46.00	 10.00	599.50	308.44	  7.00	  2.00
 18.66	681.59	311.75	 46.00	 40.00	1767.43	329.62	  8.00	  3.00

 13.64	714.03	902.21	152.00	  5.00	270.50	907.00	 40.00	  1.00
 13.64	714.03	902.21	152.00	  6.00	307.85	881.00	 37.00	  2.00
 13.64	714.03	902.21	152.00	 25.00	1095.11	897.32	 39.00	  3.00
 13.64	714.03	902.21	152.00	 31.00	1453.56	893.14	 38.00	  4.00


125.62	760.59	390.16	 59.00	 18.00	727.81	389.75	 11.00	  1.00
125.62	760.59	390.16	 59.00	 19.00	734.26	388.56	 10.00	  2.00
125.62	760.59	390.16	 59.00	 21.00	781.89	390.28	 12.00	  3.00

 34.00	783.49	634.57	101.00	 20.00	770.50	633.50	 29.00	  1.00




 12.16	803.83	416.39	 66.00	  9.00	585.49	430.19	 13.00	  1.00
 12.16	803.83	416.39	 66.00	 11.00	607.94	430.42	 14.00	  2.00
 12.16	803.83	416.39	 66.00	 12.00	616.90	430.55	 15.00	  3.00
 12.16	803.83	416.39	 66.00	 14.00	656.56	432.75	 16.00	  4.00
 12.16	803.83	416.39	 66.00	 16.00	707.44	434.88	 17.00	  5.00
 12.16	803.83	416.39	 66.00	 17.00	718.21	433.93	 18.00	  6.00

  7.77	815.44	899.39	150.00	  5.00	270.50	907.00	 40.00	  1.00
  7.77	815.44	899.39	150.00	  6.00	307.85	881.00	 37.00	  2.00
  7.77	815.44	899.39	150.00	 25.00	1095.11	897.32	 39.00	  3.00
  7.77	815.44	899.39	150.00	 31.00	1453.56	893.14	 38.00	  4.00

 11.26	875.39	316.36	 47.00	  1.00	 66.72	306.17	  6.00	  1.00
 11.26	875.39	316.36	 47.00	 10.00	599.50	308.44	  7.00	  2.00
 11.26	875.39	316.36	 47.00	 40.00	1767.43	329.62	  8.00	  3.00


  8.48	902.71	410.39	 62.00	 18.00	727.81	389.75	 11.00	  1.00
  8.48	902.71	410.39	 62.00	 21.00	781.89	390.28	 12.00	  2.00

  2.92	945.00	752.25	120.00	 23.00	999.66	784.92	 31.00	  1.00




113.22	993.01	790.68	125.00	 22.00	994.62	794.68	 32.00	  1.00
113.22	993.01	790.68	125.00	 23.00	999.66	784.92	 31.00	  2.00
113.22	993.01	790.68	125.00	 24.00	1012.53	794.93	 33.00	  3.00
